source_id,citation_key,title,authors,year,venue,doi,document_type,evidence_role,system_domain,system_type,system_relevance,main_topic,learning_method,physics_or_domain_model_element,operational_relevance,validation_type,evidence_note
W011,10246175,"Review of Networked Microgrid Protection: Architectures, Challenges, Solutions, and Future Trends","de la Cruz, Jorge and Wu, Ying and Candelo-Becerra, John E. and Vásquez, Juan C. and Guerrero, Josep M.",2024,CSEE Journal of Power and Energy Systems,10.17775/cseejpes.2022.07980,Review article,Review/contextual synthesis,Microgrid,Networked microgrid,Yes,physics-informed/data-driven power-system method,NR,DAE/ODE dynamics; network topology/graph; voltage/frequency limits,Contextual/background,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W012,10253396,"Learning-Based, Safety and Stability-Certified Microgrid Control","Wang, Lizhi and Zhang, Songyuan and Zhou, Yifan and Fan, Chuchu and Zhang, Peng and Shamash, Yacov A.",2023,2023 IEEE Power \& Energy Society General Meeting (PESGM),10.1109/pesgm52003.2023.10253396,Conference proceeding,Primary evaluation,Microgrid,Converter/device,Yes,physics-informed/data-driven power-system method,neural Lyapunov/certificate,Lyapunov/barrier certificate; converter/inverter dynamics,physics-informed/data-driven power-system method,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W013,10271308,Large-Signal Stability Analysis of Inverter-Based AC Microgrids: A Critical and Analytical Review,"Hosseinpour, Hadis and MansourLakouraj, Mohammad and Benidris, Mohammed and Livani, Hanif",2023,IEEE Access,10.1109/access.2023.3321834,Review article,Review/contextual synthesis,Microgrid,AC microgrid,Yes,physics-informed/data-driven power-system method,NR,DAE/ODE dynamics; Lyapunov/barrier certificate; converter/inverter dynamics,Contextual/background,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W014,10304833,Physics-informed transient stability assessment of microgrids,"Mishra, Priyanka and Zhang, Peng",2023,iEnergy,10.23919/ien.2023.0022,Journal article,Primary evaluation,Microgrid,Converter/device,Yes,transient stability,PINN,DAE/ODE dynamics; Lyapunov/barrier certificate; converter/inverter dynamics; voltage/frequency limits,transient stability,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W015,10336908,Artificial Intelligence Techniques for Enhancing the Performance of Controllers in Power Converter-Based Systems-An Overview,"Gao, Yuan and Wang, Songda and Dragicevic, Tomislav and Wheeler, Patrick and Zanchetta, Pericle",2023,IEEE Open Journal of Industry Applications,10.1109/ojia.2023.3338534,Review article,Review/contextual synthesis,Power electronics,Converter/device,Yes,physics-informed/data-driven power-system method,NR,converter/inverter dynamics,physics-informed/data-driven power-system method,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W016,10375385,"Physics-Informed Machine Learning for Data Anomaly Detection, Classification, Localization, and Mitigation: A Review, Challenges, and Path Forward","Zideh, Mehdi Jabbari and Chatterjee, Paroma and Srivastava, Anurag K.",2024,IEEE Access,10.1109/access.2023.3347989,Review article,Review/contextual synthesis,Power system,Power grid,Yes,fault/anomaly detection,machine learning,DAE/ODE dynamics,fault/anomaly detection,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W017,10416843,Machine Learning Methods for Fault Diagnosis in AC Microgrids: A Systematic Review,"Zaben, Muiz M. and Worku, Muhammed Y. and Hassan, Mohamed A. and Abido, Mohammad A.",2024,IEEE Access,10.1109/access.2024.3360330,Review article,Review/contextual synthesis,Microgrid,AC microgrid,Yes,fault/anomaly detection,machine learning,DAE/ODE dynamics,fault/anomaly detection,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W018,10443944,A Critical Review on DC Microgrids Voltage Control and Power Management,"Al-Ismail, Fahad Saleh",2024,IEEE Access,10.1109/access.2024.3369609,Review article,Review/contextual synthesis,Microgrid,DC microgrid,Yes,voltage control,NR,DAE/ODE dynamics; converter/inverter dynamics; voltage/frequency limits,voltage control,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W019,10489968,PIDGeuN: Graph Neural Network-Enabled Transient Dynamics Prediction of Networked Microgrids Through Full-Field Measurement,"Yu, Yin and Jiang, Xinyuan and Huang, Daning and Li, Yan and Yue, Meng and Zhao, Tianqiao",2024,IEEE Access,10.1109/access.2024.3384457,Journal article,Primary evaluation,Microgrid,Networked microgrid,Yes,transient stability,graph neural network,DAE/ODE dynamics; network topology/graph,transient stability,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W020,10506510,An Adaptive Data-Driven-Based Control for Voltage Control Loop of Grid-Forming Converters in Variable Inertia MGs,"Pinthurat, Watcharakorn and Kongsuk, Prayad and Surinkaew, Tossaporn and Marungsri, Boonruang",2024,IEEE Access,10.1109/access.2024.3392295,Journal article,Primary evaluation,Microgrid,Grid-forming converter microgrid,Yes,voltage control,NR,converter/inverter dynamics; voltage/frequency limits,voltage control,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W021,10507020,Gray-Box Modeling for Distribution Systems With Inverter-Based Resources: Integrating Physics-Based and Data-Driven Approaches,"Zhang, Junhui and Men, Yuxi and Ding, Lizhi and Lu, Xiaonan and Du, Wei",2024,IEEE Transactions on Industry Applications,10.1109/tia.2024.3392710,Journal article,Primary evaluation,Distribution power system,Distribution network,Yes,modeling and system identification,gray-box neural modeling,DAE/ODE dynamics; converter/inverter dynamics,modeling and system identification,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W022,10517491,Interoperability in Microgrids to Improve Energy Access: A Systematic Review,"Suryani, Amalia and Sulaeman, Ilman and Rosyid, Oo Abdul and Moonen, Niek and Popović, Jelena",2024,IEEE Access,10.1109/access.2024.3396275,Review article,Review/contextual synthesis,Microgrid,NR,Yes,physics-informed/data-driven power-system method,NR,NR,Contextual/background,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W023,10527356,Modularized Bilinear Koopman Operator for Modeling and Predicting Transients of Microgrids,"Jiang, Xinyuan and Li, Yan and Huang, Daning",2024,IEEE Transactions on Smart Grid,10.1109/tsg.2024.3399076,Journal article,Primary evaluation,Microgrid,NR,Yes,modeling and system identification,Koopman learning,DAE/ODE dynamics,modeling and system identification,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W024,10540030,Physics-Informed Neural Networks for Power Systems Warm-Start Optimization,"Tudoras-Miravet, Alex and González-Iakl, Esteban and Gomis-Bellmunt, Oriol and Prieto-Araujo, Eduardo",2024,IEEE Access,10.1109/access.2024.3406471,Journal article,Primary evaluation,Power system,Power grid,Yes,physics-informed/data-driven power-system method,PINN,power-flow equations; DAE/ODE dynamics,Contextual/background,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W025,10584332,Topology-Based Stabilization of Islanded Microgrids With Multiple Tie Switches Under Operational Variations: A Neural Control Approach,"Han, Tong and Xu, Yan",2025,IEEE Transactions on Power Systems,10.1109/tpwrs.2024.3422453,Journal article,Primary evaluation,Microgrid,Islanded microgrid,Yes,physics-informed/data-driven power-system method,neural Lyapunov/certificate,Lyapunov/barrier certificate; network topology/graph,physics-informed/data-driven power-system method,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W026,10586887,Research on Distributed Coordination Control Method for Microgrid System Based on Finite-Time Event-Triggered Consensus Algorithm,"Wu, Lizhen and Yang, Heng and Wei, Jianping and Jiang, Wendong",2024,Chinese Journal of Electrical Engineering,10.23919/cjee.2024.000053,Journal article,Excluded non-primary study,Microgrid,Active distribution network,Yes,physics-informed/data-driven power-system method,neural Lyapunov/certificate,DAE/ODE dynamics; Lyapunov/barrier certificate; voltage/frequency limits,physics-informed/data-driven power-system method,NR,Outside inferred primary-evidence scope or lacks extractable evidence.
W027,10630816,Review of Computational Intelligence Approaches for Microgrid Energy Management,"Bilal, Mohd and Algethami, Abdullah A. and Imdadullah and Hameed, Salman",2024,IEEE Access,10.1109/access.2024.3440885,Review article,Review/contextual synthesis,Microgrid,NR,Yes,energy management,NR,NR,energy management,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W028,10665992,Enhancing Transient Dynamics Stabilization in Islanded Microgrids Through Adaptive and Hierarchical Data-Driven Predictive Droop Control,"Nandakumar, Apoorva and Li, Yan and Xu, Zhe and Huang, Daning",2025,IEEE Transactions on Smart Grid,10.1109/tsg.2024.3448460,Journal article,Primary evaluation,Microgrid,Islanded microgrid,Yes,transient stability,data-driven predictive control,DAE/ODE dynamics; converter/inverter dynamics; voltage/frequency limits,transient stability,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W029,10735212,"Artificial Intelligence in the Hierarchical Control of AC, DC, and Hybrid AC/DC Microgrids: A Review","Gutiérrez-Escalona, Javier and Roncero-Clemente, Carlos and Husev, Oleksandr and Matiushkin, Oleksandr and Blaabjerg, Frede",2024,IEEE Access,10.1109/access.2024.3486382,Review article,Review/contextual synthesis,Microgrid,DC microgrid,Yes,physics-informed/data-driven power-system method,NR,DAE/ODE dynamics,physics-informed/data-driven power-system method,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W030,10753627,Structure-Preserving Model Order Reduction for Nonlinear DAE Models of Power Networks,"Nadeem, Muhammad and Taha, Ahmad F.",2025,IEEE Transactions on Power Systems,10.1109/tpwrs.2024.3499853,Journal article,Primary evaluation,Power system,Power grid,Yes,modeling and system identification,neural ODE/DAE,DAE/ODE dynamics; voltage/frequency limits,modeling and system identification,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W031,10833613,Uniform Physics Informed Neural Network Framework for Microgrid and Its Application in Voltage Stability Analysis,"Feng, Renhai and Wajid, Khan and Faheem, Muhammad and Wang, Jiang and Subhan, Fazal E. and Shoaib Bhutta, Muhammad",2025,IEEE Access,10.1109/access.2025.3527047,Journal article,Primary evaluation,Microgrid,Power grid,Yes,physics-informed/data-driven power-system method,PINN,DAE/ODE dynamics; voltage/frequency limits,Contextual/background,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W032,10843279,Physics-Informed Kolmogorov-Arnold Networks for Power System Dynamics,"Shuai, Hang and Li, Fangxing",2025,IEEE Open Access Journal of Power and Energy,10.1109/oajpe.2025.3529928,Journal article,Primary evaluation,Power system,Power grid,Yes,physics-informed/data-driven power-system method,PINN,voltage/frequency limits,Contextual/background,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W033,10852190,Distributionally Robust Neural Control of High-Renewable Islanded Microgrids for Stability Enhancement,"Han, Tong and Xu, Yan",2025,IEEE Transactions on Smart Grid,NR,Journal article,Primary evaluation,Microgrid,Islanded microgrid,Yes,physics-informed/data-driven power-system method,neural Lyapunov/certificate,Lyapunov/barrier certificate; chance/CVaR risk constraint,physics-informed/data-driven power-system method,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W034,10887332,Neuro-Modeling Infused EMT Analytics,"Shen, Qing and Zhou, Yifan and Zhang, Peng and Shamash, Yacov A. and Sharma, Roshan and Chen, Bo",2025,IEEE Transactions on Consumer Electronics,10.1109/tce.2025.3542069,Journal article,Primary evaluation,Power system,Power grid,Yes,modeling and system identification,PINN,DAE/ODE dynamics,modeling and system identification,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W035,10891446,Distributed Forced-Boundary-Constrained Secondary Coordination of Islanded Microgrids,"Zhang, Congyue and Dou, Xiaobo and Zhao, Jianfeng and Hu, Qinran and Liu, Kangli and Lv, Yongqing",2025,IEEE Transactions on Industry Applications,10.1109/tia.2025.3542733,Journal article,Excluded non-primary study,Microgrid,Islanded microgrid,Yes,physics-informed/data-driven power-system method,neural Lyapunov/certificate,DAE/ODE dynamics; Lyapunov/barrier certificate; voltage/frequency limits,Contextual/background,NR,Outside inferred primary-evidence scope or lacks extractable evidence.
W036,10906317,Physics-Guided Safe Policy Learning with Enhanced Perception for Real-Time Dynamic Security Constrained Optimal Power Flow,"Ye, Yujian and Wu, Yizhi and Hu, Jianxiong and Hu, Hao and Qian, Siqi and Zhang, Xi and Wang, Qiong and Strbac, Goran",2025,Journal of Modern Power Systems and Clean Energy,10.35833/mpce.2024.001219,Journal article,Primary evaluation,Power system,Power grid,Yes,physics-informed/data-driven power-system method,NR,power-flow equations; DAE/ODE dynamics; network topology/graph,Contextual/background,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W037,10933995,Distributed Control Strategies for Microgrids: A Critical Review of Technologies and Challenges,"Ahmad, Ghali and Hassan, Abdulbasit and Islam, Asif and Shafiullah, Md and Abido, Mohammad A. and Al-Dhaifallah, Mujahed",2025,IEEE Access,10.1109/access.2025.3552940,Review article,Review/contextual synthesis,Microgrid,NR,Yes,physics-informed/data-driven power-system method,NR,voltage/frequency limits,physics-informed/data-driven power-system method,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W038,10942604,Series-Cascaded AC Microgrids: An Inclusive Review of Architectures and Control Methodologies,"Ali, Salman and Rodríguez, Santiago Bogarra and Khan, Muhammad Mansoor and Córcoles, Felipe and Byun, Yung-Cheol and Guerrero, Josep M.",2025,IEEE Access,10.1109/access.2025.3555497,Review article,Review/contextual synthesis,Microgrid,AC microgrid,Yes,physics-informed/data-driven power-system method,NR,DAE/ODE dynamics; voltage/frequency limits,physics-informed/data-driven power-system method,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W039,11003897,Safe Reinforcement Learning-Based Transient Stability Control for Islanded Microgrids With Topology Reconfiguration,"Su, Tong and Zhao, Junbo and Yao, Yiyun and Selim, Alaa and Ding, Fei",2025,IEEE Transactions on Smart Grid,10.1109/tsg.2025.3569696,Journal article,Primary evaluation,Microgrid,Islanded microgrid,Yes,transient stability,safe reinforcement learning,DAE/ODE dynamics; network topology/graph; chance/CVaR risk constraint,transient stability,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W040,11045087,Adaptable Parameters Estimation for Microgrid Distributed Energy Resources Using Modified Physics-Informed Neural Network,"Chen, Likun and Wang, Yifan and Sun, Wei and Dong, Xuzhu and Wang, Bo",2025,IEEE Transactions on Sustainable Energy,10.1109/tste.2025.3581385,Journal article,Primary evaluation,Microgrid,NR,Yes,modeling and system identification,PINN,DAE/ODE dynamics,modeling and system identification,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W041,11088107,Explainable Graph Neural Networks for Power Grid Fault Detection,"Bosso, Richard and Chang, Corey and Zarif, Mahdi and Tang, Yufei",2025,IEEE Access,10.1109/access.2025.3591604,Journal article,Primary evaluation,Power system,Power grid,Yes,fault/anomaly detection,graph neural network,DAE/ODE dynamics; network topology/graph,fault/anomaly detection,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W042,11165312,Digital Twin-Driven Health Management in Microgrids,"Ebrahimi, Shayan and Seyedi, Mohammad and Sheida, Kouhyar and Ferdowsi, Farzad and Carbone, Marc A.",2025,IEEE Access,10.1109/access.2025.3610339,Journal article,Primary evaluation,Microgrid,DC microgrid,Yes,fault/anomaly detection,digital twin/deep learning,DAE/ODE dynamics,fault/anomaly detection,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W043,11176071,Energy Management Systems for Maritime Microgrids: A Comprehensive Review of Intelligent Optimization Strategies,"Ahmed Khan, Asif and Timilsina, Laxman and Muriithi, Grace and Arsalan, Ali and Moghassemi, Ali and Papari, Behnaz and Ozkan, Gokhan and Edrington, Christopher S. and Seifi Boghrabadi, Nafiseh and Wang, Zhenbo",2025,IEEE Access,10.1109/access.2025.3613231,Review article,Review/contextual synthesis,Microgrid,Power grid,Yes,energy management,NR,DAE/ODE dynamics,energy management,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W044,9282004,Physics-Informed Neural Networks for Power Systems,"Misyris, George S. and Venzke, Andreas and Chatzivasileiadis, Spyros",2020,2020 IEEE Power \& Energy Society General Meeting (PESGM),10.1109/pesgm41954.2020.9282004,Conference proceeding,Primary evaluation,Power system,Power grid,Yes,physics-informed/data-driven power-system method,PINN,DAE/ODE dynamics; voltage/frequency limits,Contextual/background,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W045,9328256,Resilient Scheduling of Networked Microgrids Against Real-Time Failures,"Fesagandis, Hadi Safari and Jalali, Mehdi and Zare, Kazem and Abapour, Mehdi and Karimipour, Hadis",2021,IEEE Access,10.1109/access.2021.3052653,Journal article,Contextual method/background,Microgrid,Networked microgrid,Yes,restoration and resilience,NR,DAE/ODE dynamics,restoration and resilience,NR,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W046,9371751,Safe Reinforcement Learning-Based Resilient Proactive Scheduling for a Commercial Building Considering Correlated Demand Response,"Liang, Zheming and Huang, Can and Su, Wencong and Duan, Nan and Donde, Vaibhav and Wang, Bin and Zhao, Xianbo",2021,IEEE Open Access Journal of Power and Energy,10.1109/oajpe.2021.3064319,Journal article,Primary evaluation,NR,NR,No,restoration and resilience,safe reinforcement learning,DAE/ODE dynamics; voltage/frequency limits; chance/CVaR risk constraint,restoration and resilience,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W047,9444806,Neuro-Reachability of Networked Microgrids,"Zhou, Yifan and Zhang, Peng",2022,IEEE Transactions on Power Systems,10.1109/tpwrs.2021.3085706,Journal article,Excluded non-primary study,Microgrid,Networked microgrid,Yes,physics-informed/data-driven power-system method,NR,NR,Contextual/background,NR,Local PDF could not be text-extracted; only metadata was available.
W048,9465817,Coordinated Restoration Method for Electric Buses and Network Reconfigurations in Distribution Systems Under Extreme Events,"Zhang, Bo and Zhang, Lu and Tang, Wei and Wang, Zhaoqi and Wang, Chen",2024,CSEE Journal of Power and Energy Systems,10.17775/cseejpes.2020.04320,Journal article,Excluded non-primary study,Distribution power system,Distribution network,Yes,restoration and resilience,NR,network topology/graph,restoration and resilience,NR,Learning or data-driven method is not central to the available source evidence.
W049,9674753,A Framework for Coordinated Self-Assembly of Networked Microgrids Using Consensus Algorithms,"Schneider, Kevin P. and Glass, Jim and Klauber, Cecilia and Ollis, Ben and Reno, Matthew J. and Burck, Michael and Muhidin, Lelic and Dubey, Anamika and Du, Wei and Vu, Long and Xie, Jing and Nordy, David and Dawson, William and Hernandez-Alvidrez, Javier and Bose, Anjan and Ton, Dan and Yuan, Guohui",2022,IEEE Access,10.1109/access.2021.3132253,Journal article,Excluded non-primary study,Microgrid,Networked microgrid,Yes,physics-informed/data-driven power-system method,NR,NR,Contextual/background,NR,Learning or data-driven method is not central to the available source evidence.
W050,9681082,A Comprehensive Review of Control Strategies and Optimization Methods for Individual and Community Microgrids,"Salehi, Navid and Martínez-García, Herminio and Velasco-Quesada, Guillermo and Guerrero, Josep M.",2022,IEEE Access,10.1109/access.2022.3142810,Review article,Review/contextual synthesis,Microgrid,NR,Yes,physics-informed/data-driven power-system method,NR,NR,physics-informed/data-driven power-system method,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W051,9743327,Applications of Physics-Informed Neural Networks in Power Systems - A Review,"Huang, Bin and Wang, Jianhui",2023,IEEE Transactions on Power Systems,10.1109/tpwrs.2022.3162473,Review article,Review/contextual synthesis,Power system,Power grid,Yes,physics-informed/data-driven power-system method,PINN,power-flow equations; DAE/ODE dynamics,Contextual/background,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W052,9844253,Feasibility Study of Neural ODE and DAE Modules for Power System Dynamic Component Modeling,"Xiao, Tannan and Chen, Ying and Huang, Shaowei and He, Tirui and Guan, Huizhe",2023,IEEE Transactions on Power Systems,10.1109/tpwrs.2022.3194570,Journal article,Contextual method/background,Power system,Power grid,Yes,modeling and system identification,neural ODE/DAE,DAE/ODE dynamics,modeling and system identification,NR,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W053,9908557,Microgrids and Resilience: A Review,"Hamidieh, Mohammad and Ghassemi, Mona",2022,IEEE Access,10.1109/access.2022.3211511,Review article,Review/contextual synthesis,Microgrid,Networked microgrid,Yes,restoration and resilience,NR,DAE/ODE dynamics,restoration and resilience,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W054,9916278,Transient Voltage Control Based on Physics-Informed Reinforcement Learning,"Gao, Jiemai and Chen, Siyuan and Li, Xiang and Zhang, Jun",2022,IEEE Journal of Radio Frequency Identification,10.1109/jrfid.2022.3213895,Journal article,Primary evaluation,Power system,Power grid,Yes,voltage control,physics-informed reinforcement learning,DAE/ODE dynamics; voltage/frequency limits,voltage control,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W055,9939922,Event Classification in Active Distribution Grids Using Physics-Informed Graph Neural Network and PMU Measurements,"MansourLakouraj, Mohammad and Gautam, Mukesh and Hossain, Rakib and Livani, Hanif and Benidris, Mohammed and Commuri, Sesh",2022,2022 IEEE Industry Applications Society Annual Meeting (IAS),10.1109/ias54023.2022.9939922,Conference proceeding,Primary evaluation,Distribution power system,Active distribution network,Yes,physics-informed/data-driven power-system method,graph neural network,DAE/ODE dynamics; network topology/graph; voltage/frequency limits,Contextual/background,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W056,9950293,A Voltage Sensitivity Based Equivalent for Active Distribution Networks Containing Grid Forming Converters,"Ungerland, Jakob and Poshiya, Nikhilkumar and Biener, Wolfgang and Lens, Hendrik",2023,IEEE Transactions on Smart Grid,10.1109/tsg.2022.3221874,Journal article,Excluded non-primary study,Distribution power system,Grid-forming converter microgrid,Yes,modeling and system identification,gray-box neural modeling,DAE/ODE dynamics; converter/inverter dynamics; voltage/frequency limits,modeling and system identification,NR,Outside inferred primary-evidence scope or lacks extractable evidence.
