claim_id,study_id,citation_key,claim_type,operational_context,transition_or_operating_regime,system_type,networked_or_multi_system_flag,learned_or_data_driven_artifact,task_family,consuming_decision_layer,required_latency_class,method_family,physics_or_domain_integration_mechanism,physical_or_domain_object_enforced,injection_stage,enforcement_strength,constraint_semantics,validation_environment,validation_fidelity_tier,auditability_tier,operational_limits_reported,voltage_limit_reported,frequency_limit_reported,current_limit_reported,synchronization_or_coupling_limit_reported,violation_reporting,violation_magnitude_reported,violation_duration_reported,stability_or_feasibility_metric,robustness_axes,topology_variation_tested,disturbance_shift_tested,measurement_degradation_tested,communication_impairment_tested,resource_outage_or_derating_tested,latency_reported,computation_time,computational_complexity_note,baseline_reported,ablation_reported,protection_or_safety_assumptions,device_limit_model,uncertainty_calibration,scalability_notes,quantitative_result_summary,evidence_class,inclusion_rationale
C020,S034,10887332,enabling,EMT induction-machine neural DAE analytics,EMT device transient,converter-dominated power components,No,neural differential-algebraic EMT module,induction-machine EMT surrogate modeling,EMT analytics,offline planning,physics-informed neural DAE,stiff ODE/DAE equations in neural module,induction-machine and inverter trajectories,hybrid,audited only,physics-informed EMT trajectory prediction,EMT simulation,F2,A3,No,Yes,NR,Yes,NR,NR,NR,NR,mean waveform errors,"parameter changes, fault cases, noisy measurements",NR,Yes,Yes,NR,NR,NR,NR,ODT note reports mean errors; runtime NR,Yes,Yes,EMT component model assumptions,induction machine,noise handled by adaptive loss weighting,device-level EMT cases,Mean trajectory errors reported for induction-machine free-acceleration and torque-change evaluations; exact values include 2.9655% and 0.3606% in ODT note,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C021,S034,10887332,enabling,EMT inverter neural DAE analytics,EMT device transient,converter-dominated power components,No,neural differential-algebraic EMT module,inverter EMT surrogate modeling,EMT analytics,offline planning,physics-informed neural DAE,stiff ODE/DAE equations in neural module,induction-machine and inverter trajectories,hybrid,audited only,physics-informed EMT trajectory prediction,EMT simulation,F2,A3,No,Yes,NR,Yes,NR,NR,NR,NR,mean waveform errors,"parameter changes, fault cases, noisy measurements",NR,Yes,Yes,NR,NR,NR,NR,ODT note reports mean errors; runtime NR,Yes,Yes,EMT component model assumptions,inverter,noise handled by adaptive loss weighting,device-level EMT cases,Fault and parameter-shift cases used for EMT neural DAE validation; exact inverter-specific table values NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C022,S036,10906317,operational,dynamic-security constrained OPF,real-time dynamic security,power system,No,physics-guided safe policy,dynamic-security constrained OPF,real-time dispatch,real-time dispatch,safe policy learning,dynamic security constraints and enhanced perception guide policy learning,dynamic-security constraints,hybrid,hybrid,safe policy for dynamic security constrained OPF,simulation,F1,A2,Yes,Yes,Yes,Yes,Yes,Yes,NR,NR,security feasibility and OPF objective,operating scenarios,NR,Yes,NR,NR,NR,NR,NR,Title states real-time; exact latency NR,Yes,NR,dynamic security constraints,power-system operating limits,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C023,S039,11003897,transition-focused,safe RL transient stability emergency control,topology reconfiguration after disturbance,islanded microgrid,Yes,safe RL policy with DSPP chance constraint,transient stability emergency control,emergency control,emergency control,safe reinforcement learning,DSPP transient-stability surrogate and chance constraint in RCPO,transient stability chance constraint and topology controls,uncertainty/risk,hybrid,chance-constrained emergency control,real islanded microgrid case simulation,F1,A2,Yes,Yes,Yes,NR,Yes,Yes,NR,NR,constraint satisfaction and control objective,topology reconfiguration and transient stability uncertainty,Yes,Yes,NR,NR,NR,NR,NR,ODT abstract reports parallel training speedup but exact runtime NR,Yes,NR,transient-stability chance constraint,islanded microgrid topology and resources,DSPP predicted normal distribution,real islanded microgrid case; exact size NR,ODT abstract reports efficient emergency control under hard constraints; exact violation magnitude NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C024,S039,11003897,transition-focused,topology reconfiguration for islanded microgrid transient stability,topology reconfiguration after disturbance,islanded microgrid,Yes,safe RL policy with DSPP chance constraint,topology reconfiguration,emergency control,emergency control,safe reinforcement learning,DSPP transient-stability surrogate and chance constraint in RCPO,transient stability chance constraint and topology controls,uncertainty/risk,hybrid,chance-constrained emergency control,real islanded microgrid case simulation,F1,A2,Yes,Yes,Yes,NR,Yes,Yes,NR,NR,constraint satisfaction and control objective,topology reconfiguration and transient stability uncertainty,Yes,Yes,NR,NR,NR,NR,NR,ODT abstract reports parallel training speedup but exact runtime NR,Yes,NR,transient-stability chance constraint,islanded microgrid topology and resources,DSPP predicted normal distribution,real islanded microgrid case; exact size NR,ODT abstract reports topology reconfiguration in a real islanded microgrid case; exact reconfiguration count NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C025,S040,11045087,enabling,microgrid DER parameter estimation,DER parameter estimation under scarce data,microgrid DERs,Yes,modified physics-informed neural network,parameter estimation,model identification,offline planning,modified PINN,small-signal analysis with PINN ODE framework,DER dynamic parameters,training loss,audited only,physics-informed parameter estimation,real-time digital simulation data,F3,A3,No,Yes,Yes,NR,NR,NR,NR,NR,parameter error margin below 5%,different DER types and scarce data,NR,NR,NR,NR,NR,Yes,training time reduced by up to 82.87% versus traditional PINN in ODT note,data transformation reduces training time,Yes,Yes,open-source microgrid setup assumptions,distributed energy resources,NR,two typical setups based on open-source real-world microgrid,training time reduced by up to 82.87% versus traditional PINN in ODT note,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C026,S041,11088107,operational,fault detection in power grids,fault detection,power grid,Yes,explainable graph neural network,fault detection,protection monitoring,protection monitoring,explainable graph neural network,graph topology used in neural fault detection,faulted network states,architecture/structure,audited only,fault classification and explanation,simulation,F1,A3,No,Yes,NR,Yes,NR,NR,NR,NR,F1-score and AUC,IEEE 14/34/123-bus systems and 3% noise,Yes,Yes,Yes,NR,NR,Yes,explanation generation time reported in ODT note; exact value NR,"10,000 voltage sampling points; 100 train and 100 test scenarios reported",Yes,Yes,fault simulation assumptions,network fault model,NR,"IEEE 14-bus, 34-bus, and 123-bus systems",explanation generation time reported in ODT note; exact value NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C027,S042,11165312,enabling,microgrid health management,fault diagnosis and health monitoring,microgrid,Yes,digital twin with LSTM fault diagnosis,health monitoring,operations monitoring,online monitoring,digital twin and deep learning,digital twin model with measurement-driven diagnosis,microgrid health states,hybrid,audited only,monitoring and fault diagnosis,case-study evaluation,F1,A2,No,Yes,Yes,Yes,NR,NR,NR,NR,fault diagnosis accuracy,multi-domain metrics and measurement uncertainty discussion,NR,Yes,Yes,NR,NR,Yes,fast sampling/processing discussed; exact latency NR,ODT note reports about 97% LSTM-based diagnosis accuracy,Yes,NR,digital-twin monitoring assumptions,microgrid components,measurement uncertainty discussed,NR,fast sampling/processing discussed; exact latency NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C028,S044,9282004,enabling,power-system PINN feasibility,steady and dynamic power-system analysis,power system,No,physics-informed neural network,physics-informed modeling,analysis support,offline planning,PINN,power-system equations inside training objective,power-system residuals,training loss,soft penalty,physics residual regularization,offline examples,F0,A1,No,Yes,NR,NR,NR,NR,NR,NR,prediction/approximation error,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,power-system equation assumptions,power-system network model,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C029,S046,9371751,operational,proactive scheduling during islanding disruption,islanding and demand-response disruption,commercial building microgrid,Yes,safe reinforcement-learning scheduler,resilient proactive scheduling,energy management system,day-ahead/near-real-time scheduling,safe reinforcement learning,chance constraints and CVaR risk formulation,"reserve, CHP, ESS and demand response under islanding",uncertainty/risk,hybrid,CVaR/chance-constrained resilient scheduling,simulation,F0,A3,Yes,NR,NR,NR,NR,Yes,Yes,Yes,reward/objective and CVaR,hurricane at 44th time slot and 2-hour islanding duration,NR,Yes,NR,NR,Yes,Yes,training time 6 h versus 28 h for DQN in ODT note,CVaR confidence level 95% reported,Yes,Yes,islanding and reserve-response assumptions,CHP and ESS model,CVaR 95% confidence level,commercial building case,ODT note reports average reward 73.58 for proposed method versus 66.04 for DQN and islanding duration of 2 hours,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C030,S046,9371751,operational,CVaR risk-aware correlated demand response,islanding and demand-response disruption,commercial building microgrid,Yes,safe reinforcement-learning scheduler,risk-aware scheduling,energy management system,day-ahead/near-real-time scheduling,safe reinforcement learning,chance constraints and CVaR risk formulation,"reserve, CHP, ESS and demand response under islanding",uncertainty/risk,hybrid,CVaR/chance-constrained resilient scheduling,simulation,F0,A3,Yes,NR,NR,NR,NR,Yes,Yes,Yes,reward/objective and CVaR,hurricane at 44th time slot and 2-hour islanding duration,NR,Yes,NR,NR,Yes,Yes,training time 6 h versus 28 h for DQN in ODT note,CVaR confidence level 95% reported,Yes,Yes,islanding and reserve-response assumptions,CHP and ESS model,CVaR 95% confidence level,commercial building case,ODT note reports CVaR confidence level 95% and objective values 77.62 scenario-based versus 78.53 CVaR-based,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C031,S054,9916278,transition-focused,transient voltage control,transient voltage instability after faults,IEEE 9-bus power system,No,physics-informed reinforcement-learning controller,transient voltage control,emergency control,emergency control,physics-informed reinforcement learning,physical-model constraints constrain the data-driven RL model,transient voltage stability,hybrid,soft penalty,physics-informed transient voltage control,IEEE 9-bus simulation,F1,A2,Yes,Yes,NR,NR,Yes,Yes,NR,NR,effectiveness and superiority in IEEE-9 bus example,fault or disturbance scenarios,NR,Yes,NR,NR,NR,NR,NR,Mutool-recovered abstract says rapid scheduling but exact latency NR,Yes,NR,transient power-system DAE assumptions,generator tripping/control actions,NR,IEEE 9-bus system,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C032,S055,9939922,operational,active distribution grid event classification,event/fault classification,active distribution grid,Yes,physics-informed graph neural network,event classification,protection monitoring,protection monitoring,physics-informed graph neural network,graph topology and PMU measurements,event classes from PMU data,architecture/structure,audited only,physics-informed classification,simulation,F1,A3,No,Yes,Yes,Yes,NR,NR,NR,NR,classification performance under noise/missing data,"SNR settings and missing PMU fractions 10%, 40%, 80%",Yes,Yes,Yes,NR,NR,NR,NR,NR,Yes,Yes,PMU event simulation assumptions,PMU measurements,NR,active distribution grid cases,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C033,S057,Wu2026Multiagent,operational,multi-microgrid resilience under extreme weather,extreme-weather resilience,microgrids,Yes,multiagent reinforcement-learning coordination policy,resilience enhancement,resilience scheduling/control,operational scheduling,multiagent reinforcement learning,microgrid resilience objective in MARL environment,microgrid resources under extreme events,uncertainty/risk,soft penalty,reward-shaped resilience optimization,simulation,F0,A2,Yes,NR,NR,NR,NR,NR,NR,NR,resilience and reward outcomes,extreme weather scenarios,NR,Yes,NR,NR,Yes,NR,NR,NR,Yes,NR,extreme-weather scenario assumptions,microgrid resources,weather-event uncertainty,multiagent/multiple microgrids,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C034,S059,aryal2025active,enabling,microgrid frequency dynamics prediction across excitations,frequency dynamics across excitations,microgrid,Yes,active-learning neural ordinary differential equation,frequency dynamics prediction,monitoring and model support,online screening,neural ODE,ODE structure learned from frequency-dynamics data,frequency dynamics,architecture/structure,audited only,learned dynamic surrogate,simulation,F1,A3,No,NR,Yes,NR,Yes,NR,NR,NR,GoF and MSE,"initial guesses, topology transfer learning, noise distribution, step/square excitation",Yes,Yes,Yes,NR,NR,Yes,"training 65 h local, 40.7 h HPC, inference microsecond range",Inference reported in microsecond range; training times reported,Yes,Yes,frequency dynamics simulation assumptions,microgrid frequency dynamics model,noise distribution tested,topology transfer learning tested,ODT note reports GoF generally above 85% and MSE within 1e-6 p.u. except Delta omega dot around 80% GoF,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C035,S059,aryal2025active,enabling,neural ODE transfer learning under topology changes,frequency dynamics across excitations,microgrid,Yes,active-learning neural ordinary differential equation,topology-transfer dynamics learning,monitoring and model support,online screening,neural ODE,ODE structure learned from frequency-dynamics data,frequency dynamics,architecture/structure,audited only,learned dynamic surrogate,simulation,F1,A3,No,NR,Yes,NR,Yes,NR,NR,NR,GoF and MSE,"initial guesses, topology transfer learning, noise distribution, step/square excitation",Yes,Yes,Yes,NR,NR,Yes,"training 65 h local, 40.7 h HPC, inference microsecond range",Inference reported in microsecond range; training times reported,Yes,Yes,frequency dynamics simulation assumptions,microgrid frequency dynamics model,noise distribution tested,topology transfer learning tested,ODT note reports topology changes via transfer learning and microsecond-range inference; exact topology count NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C036,S061,bu2024hybrid,operational,community integrated energy demand response,demand-response operation,community integrated energy system,No,hybrid data-driven operation model,demand response,energy management system,operational scheduling,hybrid data-driven optimization,virtual and physical energy storage represented in operation model,demand-response and storage constraints,hybrid,audited only,model-data co-driven operation,case-study simulation,F0,A1,Yes,NR,NR,NR,NR,NR,NR,NR,operation performance,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,storage operation assumptions,virtual and physical energy storage,NR,community integrated energy system,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
