study_id,citation_key,final_status,inclusion_rationale,exclusion_reason,target_system_relevant,learning_or_data_driven_method_central,domain_physics_explicitly_used,operational_or_dynamic_relevance,quantitative_evaluation_reported,enabling_for_operational_assessment,contextual_only,borderline_case,classification_note
S017,10416843,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S018,10443944,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S019,10489968,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S020,10506510,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,No,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S021,10507020,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S022,10517491,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,No,No,No,No,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S023,10527356,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S024,10540030,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,No,Yes,No,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S025,10584332,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S026,10586887,Excluded,Not included as primary evidence.,Outside inferred primary-evidence scope or lacks extractable evidence.,Yes,Yes,Yes,Yes,NR,No,No,No,Excluded: Outside inferred primary-evidence scope or lacks extractable evidence.
S027,10630816,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,No,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S028,10665992,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S029,10735212,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S030,10753627,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S031,10833613,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,No,Yes,No,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S032,10843279,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,No,Yes,No,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S033,10852190,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S034,10887332,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S035,10891446,Excluded,Not included as primary evidence.,Outside inferred primary-evidence scope or lacks extractable evidence.,Yes,Yes,Yes,No,NR,No,No,Yes,Excluded: Outside inferred primary-evidence scope or lacks extractable evidence.
S036,10906317,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,No,Yes,No,Yes,No,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S037,10933995,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S038,10942604,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S039,11003897,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S040,11045087,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S041,11088107,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S042,11165312,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S043,11176071,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S044,9282004,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,No,Yes,No,No,Yes,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S045,9328256,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,NR,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S046,9371751,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,No,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S047,9444806,Excluded,Not included as primary evidence.,Local PDF could not be text-extracted; only metadata was available.,Yes,No,No,No,NR,No,No,Yes,Excluded: Local PDF could not be text-extracted; only metadata was available.
S048,9465817,Excluded,Not included as primary evidence.,Learning or data-driven method is not central to the available source evidence.,Yes,No,Yes,Yes,NR,No,No,No,Excluded: Learning or data-driven method is not central to the available source evidence.
S049,9674753,Excluded,Not included as primary evidence.,Learning or data-driven method is not central to the available source evidence.,Yes,No,No,No,NR,No,No,No,Excluded: Learning or data-driven method is not central to the available source evidence.
S050,9681082,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,No,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S051,9743327,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,Yes,Yes,No,No,No,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S052,9844253,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,Yes,Yes,Yes,NR,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S053,9908557,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S054,9916278,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S055,9939922,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,No,Yes,No,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S056,9950293,Excluded,Not included as primary evidence.,Outside inferred primary-evidence scope or lacks extractable evidence.,Yes,Yes,Yes,Yes,NR,No,No,No,Excluded: Outside inferred primary-evidence scope or lacks extractable evidence.
S057,Wu2026Multiagent,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,No,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S058,adham2025distributed,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,No,No,No,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S059,aryal2025active,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S060,bouzid2025challenges,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,NR,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S061,bu2024hybrid,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,No,Yes,No,Yes,No,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S062,canaan2025cyber,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,Yes,Yes,No,No,No,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S063,cestero2025optimizing,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,No,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S064,chen2025curriculum,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S065,chen2025modified,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S066,coulombe2025simulation,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S067,dahane2024hybrid,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S068,drgovna2022differentiable,Excluded,Not included as primary evidence.,Outside target power-system or microgrid operational scope.,No,Yes,Yes,Yes,NR,No,No,Yes,Excluded: Outside target power-system or microgrid operational scope.
S069,ellinas2025physics,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,Yes,Yes,No,NR,No,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S070,feng2023stability,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S071,ge2024physics,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S072,gram2025safe,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,No,Yes,No,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S073,habibnia2026data,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S074,hadi2025artificial,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,No,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S075,huang2020neural_lyapunov_interconnected,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S076,huang2024data,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S077,huang2024prediction,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S078,juma2024review,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,No,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S079,komala2025iot,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S080,kumar2025physics,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S081,liu2024physics,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,No,Yes,Yes,Yes,NR,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S082,long2020data,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,No,No,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S083,meng2025when_physics,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,No,Yes,Yes,No,No,No,Yes,Yes,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S084,mishra2024survey,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S085,mohanty2024power,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S086,moradi2023physics,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,No,Yes,Yes,Yes,Yes,Yes,No,Yes,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S087,ngo2024physics,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S088,nkambule2025review,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S089,oelhaf2025scoping,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,Yes,Yes,No,No,No,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S090,pang2024fast,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,No,Yes,No,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S091,parsa2025physics,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,No,Yes,Yes,No,No,No,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S092,patra2025design,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,NR,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S093,ping2021deep,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S094,r2024machine,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S095,sarangi2025enhancing,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,No,No,No,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S096,sarin2025renewable,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,Yes,Yes,No,NR,No,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S097,selvaraj2024optimal,Excluded,Not included as primary evidence.,Learning or data-driven method is not central to the available source evidence.,Yes,No,Yes,No,NR,No,No,No,Excluded: Learning or data-driven method is not central to the available source evidence.
S098,singhal2026physics,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S099,stock2024bayesian,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S100,sun2025integrated,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S101,tartaglione2022loss,Excluded,Not included as primary evidence.,Outside target power-system or microgrid operational scope.,No,Yes,Yes,No,NR,No,No,No,Excluded: Outside target power-system or microgrid operational scope.
S102,valente2025physics,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,No,Yes,Yes,No,NR,No,Yes,Yes,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S103,vizza2025effective,Excluded,Not included as primary evidence.,Outside inferred primary-evidence scope or lacks extractable evidence.,Yes,Yes,Yes,No,NR,No,No,No,Excluded: Outside inferred primary-evidence scope or lacks extractable evidence.
S104,wang2023secure,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S105,wazirali2023state,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S106,wu2024physics,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,No,Yes,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S107,wu2025resilience,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S108,xu2023coordination,Excluded,Not included as primary evidence.,Learning or data-driven method is not central to the available source evidence.,Yes,No,Yes,Yes,NR,No,No,No,Excluded: Learning or data-driven method is not central to the available source evidence.
S109,xu2024resilient,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,No,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S110,xun2025single,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S111,zhang2024physics,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S112,zhao2025reconfiguration,Excluded,Not included as primary evidence.,Learning or data-driven method is not central to the available source evidence.,Yes,No,Yes,Yes,NR,No,No,No,Excluded: Learning or data-driven method is not central to the available source evidence.
S113,zheng2024distributed,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S114,zhu2025bi,Excluded,Not included as primary evidence.,Learning or data-driven method is not central to the available source evidence.,Yes,No,Yes,Yes,NR,No,No,No,Excluded: Learning or data-driven method is not central to the available source evidence.
S115,zhu2025operation,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,No,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S116,zidane2025power,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,No,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
