denominator_name,level,filter_used,count,notes
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = real-time dynamic security,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = renewable-uncertainty stability control,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = resilient microgrid formation,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = restoration/resilience with EV mobility,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = secure energy management,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = stability-economy operation,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = state estimation across feeder sizes,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = steady and dynamic power-system analysis,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = system identification under uncertainty,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = topology reconfiguration after disturbance,2,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = topology reconstruction and risk-aware reconfiguration,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = topology switching under operational variation,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = transient dynamics,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = transient prediction,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = transient reduced-order simulation,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = transient response,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = transient voltage instability after faults,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = variable-inertia microgrid voltage control,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = voltage control with stability constraint,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = voltage prediction with topology changes,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = voltage regulation,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = voltage regulation with communication constraints,2,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = voltage stability,1,Do not mix source and claim denominators.
claims by validation fidelity tier,claim,Included claims grouped by validation_fidelity_tier = F0,24,Do not mix source and claim denominators.
claims by validation fidelity tier,claim,Included claims grouped by validation_fidelity_tier = F1,35,Do not mix source and claim denominators.
claims by validation fidelity tier,claim,Included claims grouped by validation_fidelity_tier = F2,4,Do not mix source and claim denominators.
claims by validation fidelity tier,claim,Included claims grouped by validation_fidelity_tier = F3,3,Do not mix source and claim denominators.
claims by auditability tier,claim,Included claims grouped by auditability_tier = A1,13,Do not mix source and claim denominators.
claims by auditability tier,claim,Included claims grouped by auditability_tier = A2,27,Do not mix source and claim denominators.
claims by auditability tier,claim,Included claims grouped by auditability_tier = A3,26,Do not mix source and claim denominators.
claims by evidence class,claim,Included claims grouped by evidence_class = Plausibility evidence,66,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = AC microgrid,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = DC microgrid,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = IEEE 9-bus power system,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = PV-HESS-PEM microgrid converter,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = VSC-interfaced microgrid,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = active distribution grid,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = active distribution network,3,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = active distribution system,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = commercial building microgrid,2,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = community integrated energy system,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = converter-dominated power components,2,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = dc-dc converter in microgrid context,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = distribution grid,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = distribution network with microgrids,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = distribution system with inverter-based resources,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = distribution system with microgrids,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = grid-connected microgrid,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = grid-forming converter,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = grid-forming converter microgrid,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = high-renewable islanded microgrid,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = interconnected microgrids,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = inverter-based microgrid,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = inverter-dominated power system,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = islanded DC microgrid,2,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = islanded microgrid,3,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = islanded microgrid with tie switches,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = large-scale power grid,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = microgrid,11,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = microgrid DERs,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = microgrid inverter,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = microgrids,2,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = multi-energy microgrid,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = multiple microgrids,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = multiple photovoltaic power stations,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = networked microgrids,2,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = physical dynamical system,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = power distribution feeders,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = power distribution system,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = power grid,2,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = power network,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = power system,4,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = smart grid,1,Do not mix source and claim denominators.
claims by system type,claim,Included claims grouped by system_type = uncertain networked microgrids,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = Bayesian PINN,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = DRL with PINN,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = Hamiltonian neural network,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = Koopman learning,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = LSTM control/optimization,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = PINN,4,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = PINN control,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = PINN hybrid optimization,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = PINN recurrent model,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = RL with PINN surrogate,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = adaptive data-driven control,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = certificate-based neural control,2,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = data-driven hybrid dynamic modeling,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = data-driven online optimization,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = data-driven predictive control,3,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = data-driven topology reconstruction,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = deep Koopman MPC,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = deep evolutionary learning,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = deep neural network MPC,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = digital twin and deep learning,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = distributed deep reinforcement learning,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = distributionally robust neural control,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = explainable graph neural network,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = explicit neural network control,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = graph neural network,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = gray-box neural modeling,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = hard-constrained PINN,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = hybrid data-driven optimization,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = machine learning,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = model-data co-driven optimization,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = modified PINN,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = multiagent reinforcement learning,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = neural Lyapunov,2,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = neural ODE,2,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = neural switching control,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = physical-informed safe reinforcement learning,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = physics-informed ANN,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = physics-informed KAN,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = physics-informed convolutional neural network,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = physics-informed graph neural network,2,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = physics-informed multi-agent deep RL,2,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = physics-informed neural DAE,2,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = physics-informed reinforcement learning,2,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = probabilistic graph neural network,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = reinforcement pinning control,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = safe policy learning,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = safe reinforcement learning,6,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = stability-constrained reinforcement learning,1,Do not mix source and claim denominators.
claims by method family,claim,Included claims grouped by method_family = structure-preserving model reduction,1,Do not mix source and claim denominators.
claims by enforcement strength,claim,Included claims grouped by enforcement_strength = audited only,25,Do not mix source and claim denominators.
claims by enforcement strength,claim,Included claims grouped by enforcement_strength = certificate-based,4,Do not mix source and claim denominators.
claims by enforcement strength,claim,Included claims grouped by enforcement_strength = hard runtime enforcement,10,Do not mix source and claim denominators.
claims by enforcement strength,claim,Included claims grouped by enforcement_strength = hybrid,14,Do not mix source and claim denominators.
claims by enforcement strength,claim,Included claims grouped by enforcement_strength = soft penalty,13,Do not mix source and claim denominators.
