claim_id,citation_key,operating_regime,fault_switching_or_safety_event,safety_or_protection_model_reported,protection_zone_or_boundary_reported,relay_breaker_or_interlock_logic_reported,reclosing_resynchronization_or_restart_logic_reported,assumptions_summary,effect_on_operational_claim
C048,komala2025iot,grid-connected to island mode,Yes,Yes,NR,NR,Yes,IoT communication hierarchy assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C049,kumar2025physics,overload stability,No,Yes,NR,NR,NR,overload condition assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C053,pang2024fast,fast stability enhancement,No,Yes,NR,NR,NR,inverter-based microgrid dynamic assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C054,ping2021deep,post-disturbance transient stability,Yes,Yes,NR,NR,NR,energy storage actuator assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C055,r2024machine,grid-connected operation,No,Yes,NR,NR,NR,grid-connected microgrid assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C056,singhal2026physics,physical and cyber anomaly detection,No,Yes,Yes,NR,NR,centralized load-sharing controller assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C058,sun2025integrated,topology reconstruction and risk-aware reconfiguration,Yes,Yes,NR,NR,NR,incomplete-observability and topology assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C059,wang2023secure,secure energy management,No,Yes,NR,NR,NR,physical safety constraints,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C060,wu2025resilience,restoration/resilience with EV mobility,Yes,Yes,NR,NR,NR,EV movement and transport constraints,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C061,xu2024resilient,resilient microgrid formation,No,Yes,NR,NR,NR,islanding/formation feasibility assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C062,xun2025single,PV-HESS-PEM microgrid converter operation,No,Yes,NR,NR,NR,converter and electrolyzer operating assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C063,zhang2024physics,active-distribution voltage regulation,No,Yes,NR,NR,NR,voltage-control and PV-inverter assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C064,zhang2024physics,active-distribution voltage regulation,No,Yes,NR,NR,NR,voltage-control and PV-inverter assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C065,zheng2024distributed,economic control,No,Yes,NR,NR,NR,distributed control assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C066,zhu2025operation,stability-economy operation,No,Yes,NR,NR,NR,DC microgrid stability constraint assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
