claim_id,citation_key,method_family,learned_or_data_driven_artifact,consuming_decision_layer,reported_latency,reported_computation_time,complexity_statement,deployment_feasibility,latency_matches_decision_layer,notes
C052,ngo2024physics,physics-informed graph neural network,physics-informed graphical neural network,state estimator,NR,MSE around 0.0032 to 0.0039; average RMSE around 0.0139,Large-scale IEEE 8500-bus case noted,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C053,pang2024fast,LSTM control/optimization,NGO-LSTM algorithm,control support,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C054,ping2021deep,deep Koopman MPC,deep Koopman MPC controller,model predictive control,NR,NR,ODT abstract does not report runtime,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C055,r2024machine,machine learning,machine-learning forecasting and energy-management model,energy management system,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C056,singhal2026physics,physics-informed ANN,physics-informed ANN anomaly detector,monitoring/protection,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C057,stock2024bayesian,Bayesian PINN,Bayesian physics-informed neural network,model identification,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C058,sun2025integrated,data-driven topology reconstruction,integrated data-driven topology reconstruction and risk-aware reconfiguration model,restoration/reconfiguration planning,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C059,wang2023secure,physical-informed safe reinforcement learning,physical-informed safe reinforcement-learning policy,energy management system,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C060,wu2025resilience,distributed deep reinforcement learning,distributed deep reinforcement-learning EV coordination policy,resilience scheduling,NR,NR,ODT note reports sensitivity to EV/transport constraints,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C061,xu2024resilient,DRL with PINN,deep reinforcement learning with PINN integration,restoration/reconfiguration planning,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C062,xun2025single,deep neural network MPC,DNN-based model predictive controller,converter control,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C063,zhang2024physics,physics-informed multi-agent deep RL,physics-informed multi-agent DRL controller,real-time voltage control,Yes,shorter testing time than MADDPG and DDPG in ODT note,Communication-failure modes evaluated by reward and survival steps,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C064,zhang2024physics,physics-informed multi-agent deep RL,physics-informed multi-agent DRL controller,real-time voltage control,Yes,shorter testing time than MADDPG and DDPG in ODT note,Communication-failure modes evaluated by reward and survival steps,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C065,zheng2024distributed,reinforcement pinning control,reinforcement pinning control strategy,distributed control,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C066,zhu2025operation,model-data co-driven optimization,model-data co-driven operation framework,energy management system,Yes,solution within seconds versus about one minute; surrogate DE violates stability at load factor 0.95,load-factor sensitivity reports stability feasibility,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
