entry_id,claim_id,citation_key,operating_regime,feasibility_condition,failure_mode,operational_limit_involved,evidence_reported,notes
FM119,C058,sun2025integrated,topology reconstruction and risk-aware reconfiguration,risk-aware reconfiguration constraints,voltage excursion,voltage limit,Yes,NR
FM120,C058,sun2025integrated,topology reconstruction and risk-aware reconfiguration,risk-aware reconfiguration constraints,current saturation,current/device limit,Yes,NR
FM121,C058,sun2025integrated,topology reconstruction and risk-aware reconfiguration,risk-aware reconfiguration constraints,resource outage or derating,resource availability,Yes,NR
FM122,C060,wu2025resilience,restoration/resilience with EV mobility,resilience/fairness reward,communication delay or loss,communication constraint,NR,NR
FM123,C060,wu2025resilience,restoration/resilience with EV mobility,resilience/fairness reward,resource outage or derating,resource availability,NR,NR
FM124,C060,wu2025resilience,restoration/resilience with EV mobility,resilience/fairness reward,topology infeasibility or switching failure,topology constraint,NR,NR
FM125,C061,xu2024resilient,resilient microgrid formation,physics-informed resilient formation policy,voltage excursion,voltage limit,Yes,NR
FM126,C061,xu2024resilient,resilient microgrid formation,physics-informed resilient formation policy,current saturation,current/device limit,Yes,NR
FM127,C061,xu2024resilient,resilient microgrid formation,physics-informed resilient formation policy,synchronization mismatch,coupling/synchronization limit,Yes,NR
FM128,C062,xun2025single,PV-HESS-PEM microgrid converter operation,MPC device constraints,voltage excursion,voltage limit,NR,NR
FM129,C062,xun2025single,PV-HESS-PEM microgrid converter operation,MPC device constraints,current saturation,current/device limit,NR,NR
FM130,C063,zhang2024physics,active-distribution voltage regulation,physics-informed multiagent control,voltage excursion,voltage limit,Yes,"ODT note reports higher average reward, lower voltage deviation, lower curtailment, and shorter testing time versus MADDPG and DDPG"
FM131,C063,zhang2024physics,active-distribution voltage regulation,physics-informed multiagent control,topology infeasibility or switching failure,topology constraint,Yes,"ODT note reports higher average reward, lower voltage deviation, lower curtailment, and shorter testing time versus MADDPG and DDPG"
FM132,C064,zhang2024physics,active-distribution voltage regulation,physics-informed multiagent control,voltage excursion,voltage limit,Yes,ODT note reports Table 3 communication-failure tests using episodic reward and survival steps
FM133,C064,zhang2024physics,active-distribution voltage regulation,physics-informed multiagent control,communication delay or loss,communication constraint,Yes,ODT note reports Table 3 communication-failure tests using episodic reward and survival steps
FM134,C064,zhang2024physics,active-distribution voltage regulation,physics-informed multiagent control,topology infeasibility or switching failure,topology constraint,Yes,ODT note reports Table 3 communication-failure tests using episodic reward and survival steps
FM135,C065,zheng2024distributed,economic control,distributed economic control,communication delay or loss,communication constraint,NR,NR
FM136,C066,zhu2025operation,stability-economy operation,stability-feasible economic optimization,voltage excursion,voltage limit,Yes,solution within seconds versus about one minute; surrogate DE violates stability at load factor 0.95
FM137,C066,zhu2025operation,stability-economy operation,stability-feasible economic optimization,current saturation,current/device limit,Yes,solution within seconds versus about one minute; surrogate DE violates stability at load factor 0.95
